,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
2911,John O'Shea,Centre-Back,30,Man Utd,Premier League,Sunderland,Premier League,2011-2012,6500000,4500000
2912,Jajá,Centre-Forward,25,Trabzonspor,Süper Lig,Al-Ahli (UAE), United Arab Emirates,2011-2012,6000000,4500000
2913,Vedad Ibisevic,Centre-Forward,27,TSG Hoffenheim,1.Bundesliga,VfB Stuttgart,1.Bundesliga,2011-2012,6000000,4500000
2914,Andrea Lazzari,Central Midfield,26,Cagliari Calcio,Serie A,Fiorentina,Serie A,2011-2012,5500000,4500000
2915,Manu del Moral,Centre-Forward,27,Getafe CF,LaLiga,Sevilla FC,LaLiga,2011-2012,5500000,4500000
2916,David N'Gog,Centre-Forward,22,Liverpool,Premier League,Bolton,Premier League,2011-2012,5000000,4500000
2917,Cameron Jerome,Centre-Forward,25,Birmingham,Championship,Stoke City,Premier League,2011-2012,4500000,4500000
2918,Kevin Strootman,Central Midfield,21,FC Utrecht,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,4000000,4500000
2919,Pape Diakhaté,Centre-Back,27,Dynamo Kyiv,Premier Liga,Granada CF,LaLiga,2011-2012,3750000,4500000
2920,Jonathan Legear,Right Winger,24,RSC Anderlecht,Jupiler Pro League,Akhmat Grozny,Premier Liga,2011-2012,3500000,4500000
2921,Zé Love,Second Striker,23,Santos FC,Série A,Genoa,Serie A,2011-2012,3000000,4500000
2922,Nacer Barazite,Attacking Midfield,21,Austria Vienna,Bundesliga,Monaco,Ligue 2,2011-2012,3000000,4500000
2923,José Ángel,Left-Back,21,Sporting Gijón,LaLiga,AS Roma,Serie A,2011-2012,3000000,4500000
2924,Diego Buonanotte,Attacking Midfield,23,River Plate,Primera B Nacional,Málaga CF,LaLiga,2011-2012,2700000,4500000
2925,Franco Vázquez,Attacking Midfield,22,Belgrano,Torneo Final,US Palermo,Serie A,2011-2012,2400000,4500000
2926,Ali Al-Habsi,Goalkeeper,29,Bolton,Premier League,Wigan,Premier League,2011-2012,2000000,4300000
2927,Joaquín,Right Winger,29,Valencia CF,LaLiga,Málaga CF,LaLiga,2011-2012,10000000,4200000
2928,Mirel Radoi,Defensive Midfield,30,Hilal,Professional League,Al-Ain FC, United Arab Emirates,2011-2012,3000000,4200000
2929,Emiliano Viviano,Goalkeeper,25,Bologna,Serie A,Inter,Serie A,2011-2012,12000000,4100000
2930,Vieirinha,Left-Back,25,PAOK Saloniki,Super League,VfL Wolfsburg,1.Bundesliga,2011-2012,8000000,4000000
2931,Jádson,Attacking Midfield,28,Shakhtar D.,Premier Liga,São Paulo,Série A,2011-2012,7500000,4000000
2932,Abdoulay Konko,Right-Back,27,Genoa,Serie A,Lazio,Serie A,2011-2012,5000000,4000000
2933,Julien Féret,Central Midfield,29,AS Nancy,Ligue 1,Stade Rennais,Ligue 1,2011-2012,5000000,4000000
2934,Nelson Valdez,Centre-Forward,27,Hércules CF,LaLiga2,Rubin Kazan,Premier Liga,2011-2012,5000000,4000000
2935,Ivo Ilicevic,Left Winger,24,1.FC K'lautern,1.Bundesliga,Hamburger SV,1.Bundesliga,2011-2012,5000000,4000000
2936,Sokratis,Centre-Back,23,AC Milan,Serie A,Genoa,Serie A,2011-2012,5000000,4000000
2937,Mustafa Pektemek,Centre-Forward,22,Genclerbirligi,Süper Lig,Besiktas,Süper Lig,2011-2012,4500000,4000000
2938,Vladimir Gabulov,Goalkeeper,27,Dinamo Moscow,Premier Liga,Anzhi,Premier Liga,2011-2012,3800000,4000000
2939,Kolbeinn Sigthórsson,Centre-Forward,21,AZ Alkmaar,Eredivisie,AFC Ajax,Eredivisie,2011-2012,3500000,4000000
2940,Marlos,Right Winger,23,Rentistas,Primera División,Metalist,Premier Liga,2011-2012,3000000,4000000
2941,Henri Bienvenu,Centre-Forward,23,BSC Young Boys,Super League,Fenerbahce,Süper Lig,2011-2012,2500000,4000000
2942,Gabriel Silva,Left-Back,20,Palmeiras,Série A,Granada CF,LaLiga,2011-2012,2500000,4000000
2943,Santiago García,Centre-Forward,20,Nacional,Primera División,Atlético-PR,Série A,2011-2012,2000000,4000000
2944,Alan Patrick,Central Midfield,20,Santos FC,Série A,Shakhtar D.,Premier Liga,2011-2012,1500000,4000000
2945,Marco Rossi,Centre-Back,23,Parma,Serie A,RC Cesena,Serie A,2011-2012,1300000,4000000
2946,Salvatore Sirigu,Goalkeeper,24,US Palermo,Serie A,Paris SG,Ligue 1,2011-2012,10000000,3900000
2947,Danny Graham,Centre-Forward,25,Watford,Championship,Swansea,Premier League,2011-2012,1500000,3900000
2948,Ryan Bennett,Centre-Back,21,Peterborough,Championship,Norwich,Premier League,2011-2012,250000,3850000
2949,Umut Bulut,Centre-Forward,28,Trabzonspor,Süper Lig,Toulouse,Ligue 1,2011-2012,6000000,3800000
2950,Christian Fuchs,Left-Back,25,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2011-2012,5000000,3800000
2951,Juan Jesus,Centre-Back,20,Internacional,Série A,Inter,Serie A,2011-2012,3000000,3800000
2952,Fábio Rochemback,Central Midfield,30,Grêmio,Série A,DL Yifang,Super League,2011-2012,2000000,3790000
2953,Robbie Keane,Centre-Forward,31,Spurs,Premier League,Los Angeles,MLS,2011-2012,7000000,3750000
2954,Shay Given,Goalkeeper,35,Man City,Premier League,Aston Villa,Premier League,2011-2012,5500000,3750000
2955,Jeffren,Right Winger,23,FC Barcelona,LaLiga,Sporting CP,Liga NOS,2011-2012,5000000,3750000
2956,Jamie O'Hara,Central Midfield,24,Spurs,Premier League,Wolves,Premier League,2011-2012,4500000,3750000
2957,Marco Motta,Right-Back,25,Udinese Calcio,Serie A,Juventus,Serie A,2011-2012,3500000,3750000
2958,Paulo Henrique,Centre-Forward,22,Desp. Brasil, Brazil,Trabzonspor,Süper Lig,2011-2012,3000000,3750000
2959,Volkan Sen,Right Winger,24,Bursaspor,Süper Lig,Trabzonspor,Süper Lig,2011-2012,4700000,3600000
2960,Marvin Sordell,Centre-Forward,20,Watford,Championship,Bolton,Premier League,2011-2012,1000000,3600000
2961,Kléber,Centre-Forward,21,Atlético-MG,Série A,FC Porto,Liga NOS,2011-2012,1300000,3560000
2962,José Antonio Reyes,Right Winger,28,Atlético Madrid,LaLiga,Sevilla FC,LaLiga,2011-2012,15000000,3500000
2963,Diego Capel,Left Winger,23,Sevilla FC,LaLiga,Sporting CP,Liga NOS,2011-2012,8000000,3500000
2964,Maxwell,Left-Back,30,FC Barcelona,LaLiga,Paris SG,Ligue 1,2011-2012,7000000,3500000
2965,Barreto,Second Striker,25,Bari,Serie B,Udinese Calcio,Serie A,2011-2012,7000000,3500000
2966,Emmanuel Eboué,Right-Back,28,Arsenal,Premier League,Galatasaray,Süper Lig,2011-2012,6000000,3500000
2967,Nicolas N'Koulou,Centre-Back,21,Monaco,Ligue 2,Marseille,Ligue 1,2011-2012,5000000,3500000
2968,Jonathan Pitroipa,Right Winger,25,Hamburger SV,1.Bundesliga,Stade Rennais,Ligue 1,2011-2012,4500000,3500000
2969,Thiago Silva,Centre-Back,27,AC Milan,Serie A,Paris SG,Ligue 1,2012-2013,38000000,42000000
2970,Hulk,Right Winger,26,FC Porto,Liga NOS,Zenit S-Pb,Premier Liga,2012-2013,37000000,40000000
2971,Lucas Moura,Right Winger,20,São Paulo,Série A,Paris SG,Ligue 1,2012-2013,35000000,40000000
2972,Javi Martínez,Defensive Midfield,24,Athletic Bilbao,LaLiga,Bayern Munich ,1.Bundesliga,2012-2013,30000000,40000000
2973,Axel Witsel,Central Midfield,23,Benfica,Liga NOS,Zenit S-Pb,Premier Liga,2012-2013,20000000,40000000
2974,Eden Hazard,Left Winger,21,LOSC Lille,Ligue 1,Chelsea,Premier League,2012-2013,33000000,35000000
2975,Willian,Right Winger,24,Shakhtar D.,Premier Liga,Anzhi,Premier Liga,2012-2013,25000000,35000000
2976,Oscar,Attacking Midfield,20,Internacional,Série A,Chelsea,Premier League,2012-2013,20000000,32000000
2977,Robin van Persie,Centre-Forward,29,Arsenal,Premier League,Man Utd,Premier League,2012-2013,47500000,30700000
2978,Luka Modric,Central Midfield,26,Spurs,Premier League,Real Madrid,LaLiga,2012-2013,40000000,30000000
2979,Ezequiel Lavezzi,Second Striker,27,SSC Napoli,Serie A,Paris SG,Ligue 1,2012-2013,30000000,28950000
2980,Zlatan Ibrahimovic,Centre-Forward,30,AC Milan,Serie A,Paris SG,Ligue 1,2012-2013,37000000,21000000
2981,Javi García,Defensive Midfield,25,Benfica,Liga NOS,Man City,Premier League,2012-2013,15000000,20200000
2982,Mario Balotelli,Centre-Forward,22,Man City,Premier League,AC Milan,Serie A,2012-2013,24000000,20000000
2983,Alex Song,Defensive Midfield,24,Arsenal,Premier League,FC Barcelona,LaLiga,2012-2013,25000000,19000000
2984,Santi Cazorla,Central Midfield,27,Málaga CF,LaLiga,Arsenal,Premier League,2012-2013,20000000,19000000
2985,Mousa Dembélé,Central Midfield,25,Fulham,Premier League,Spurs,Premier League,2012-2013,13000000,19000000
2986,Joe Allen,Central Midfield,22,Swansea,Premier League,Liverpool,Premier League,2012-2013,4000000,19000000
2987,Kwadwo Asamoah,Left-Back,23,Udinese Calcio,Serie A,Juventus,Serie A,2012-2013,15000000,18000000
2988,Lacina Traoré,Centre-Forward,22,Kuban Krasnodar,Premier Liga,Anzhi,Premier Liga,2012-2013,7000000,18000000
2989,Marco Reus,Left Winger,23,Bor. M'gladbach,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2012-2013,20000000,17100000
2990,Shinji Kagawa,Attacking Midfield,23,Bor. Dortmund,1.Bundesliga,Man Utd,Premier League,2012-2013,22000000,16000000
2991,Taison,Left Winger,25,Metalist,Premier Liga,Shakhtar D.,Premier Liga,2012-2013,12000000,15240000
2992,Gastón Ramírez,Attacking Midfield,21,Bologna,Serie A,Southampton,Premier League,2012-2013,13500000,15200000
2993,Steven Fletcher,Centre-Forward,25,Wolves,Championship,Sunderland,Premier League,2012-2013,6000000,15200000
2994,Matija Nastasic,Centre-Back,19,Fiorentina,Serie A,Man City,Premier League,2012-2013,5500000,15200000
2995,Alexandre Pato,Centre-Forward,23,AC Milan,Serie A,Corinthians,Série A,2012-2013,28500000,15000000
2996,Lukas Podolski,Centre-Forward,27,1. FC Köln,2.Bundesliga,Arsenal,Premier League,2012-2013,20000000,15000000
2997,Daniel Sturridge,Centre-Forward,23,Chelsea,Premier League,Liverpool,Premier League,2012-2013,16000000,15000000
2998,Christopher Samba,Centre-Back,28,Anzhi,Premier Liga,QPR,Premier League,2012-2013,15000000,15000000
2999,Jack Rodwell,Defensive Midfield,21,Everton,Premier League,Man City,Premier League,2012-2013,15000000,15000000
3000,Samir Handanovic,Goalkeeper,28,Udinese Calcio,Serie A,Inter,Serie A,2012-2013,15000000,15000000
3001,Jordi Alba,Left-Back,23,Valencia CF,LaLiga,FC Barcelona,LaLiga,2012-2013,10000000,14000000
3002,Carlos Vela,Right Winger,23,Arsenal,Premier League,Real Sociedad,LaLiga,2012-2013,8000000,14000000
3003,Mauricio Isla,Right-Back,24,Udinese Calcio,Serie A,Juventus,Serie A,2012-2013,14000000,13900000
3004,Fabio Borini,Left Winger,21,AS Roma,Serie A,Liverpool,Premier League,2012-2013,9000000,13300000
3005,Rafael van der Vaart,Attacking Midfield,29,Spurs,Premier League,Hamburger SV,1.Bundesliga,2012-2013,24500000,13000000
3006,Mario Mandzukic,Left Winger,26,VfL Wolfsburg,1.Bundesliga,Bayern Munich ,1.Bundesliga,2012-2013,14000000,13000000
3007,Lucas Ocampos,Left Winger,18,River Plate,Torneo Final,Monaco,Ligue 2,2012-2013,9000000,13000000
3008,Philippe Coutinho,Attacking Midfield,20,Inter,Serie A,Liverpool,Premier League,2012-2013,9000000,13000000
3009,Hugo Lloris,Goalkeeper,25,Olympique Lyon,Ligue 1,Spurs,Premier League,2012-2013,19000000,12600000
3010,Adam Johnson,Right Winger,25,Man City,Premier League,Sunderland,Premier League,2012-2013,10500000,12600000
3011,Jan Vertonghen,Centre-Back,25,AFC Ajax,Eredivisie,Spurs,Premier League,2012-2013,15000000,12500000
3012,Giampaolo Pazzini,Centre-Forward,28,Inter,Serie A,AC Milan,Serie A,2012-2013,14500000,12500000
3013,Yann M'Vila,Defensive Midfield,22,Stade Rennais,Ligue 1,Rubin Kazan,Premier Liga,2012-2013,15000000,12000000
3014,Olivier Giroud,Centre-Forward,25,Montpellier,Ligue 1,Arsenal,Premier League,2012-2013,13000000,12000000
3015,Luuk de Jong,Centre-Forward,21,FC Twente,Eredivisie,Bor. M'gladbach,1.Bundesliga,2012-2013,12000000,12000000
3016,Marco Verratti,Central Midfield,19,Pescara,Serie A,Paris SG,Ligue 1,2012-2013,10000000,12000000
3017,Ola John,Left Winger,20,FC Twente,Eredivisie,Benfica,Liga NOS,2012-2013,2500000,12000000
3018,Paulo Dybala,Second Striker,18,Instituto,Primera B Nacional,US Palermo,Serie A,2012-2013,2000000,11900000
3019,Xherdan Shaqiri,Right Winger,20,FC Basel,Super League,Bayern Munich ,1.Bundesliga,2012-2013,12500000,11800000
3020,Wilfried Zaha,Right Winger,20,Crystal Palace,Championship,Man Utd,Premier League,2012-2013,3500000,11750000
3021,Victor Moses,Right Midfield,21,Wigan,Premier League,Chelsea,Premier League,2012-2013,6500000,11500000
3022,Sebastian Giovinco,Second Striker,25,Parma,Serie A,Juventus,Serie A,2012-2013,12500000,11000000
3023,Fredy Guarín,Central Midfield,26,FC Porto,Liga NOS,Inter,Serie A,2012-2013,12000000,11000000
3024,Eduardo Salvio,Right Winger,22,Atlético Madrid,LaLiga,Benfica,Liga NOS,2012-2013,10000000,11000000
3025,Manolo Gabbiadini,Centre-Forward,20,Atalanta,Serie A,Juventus,Serie A,2012-2013,4500000,11000000
3026,Mateo Kovacic,Central Midfield,18,Dinamo Zagreb,1.HNL,Inter,Serie A,2012-2013,3000000,11000000
3027,Loïc Rémy,Centre-Forward,26,Marseille,Ligue 1,QPR,Premier League,2012-2013,15000000,10500000
3028,Rodrigo Palacio,Centre-Forward,30,Genoa,Serie A,Inter,Serie A,2012-2013,12000000,10500000
3029,Mário Fernandes,Right-Back,21,Grêmio,Série A,CSKA Moscow,Premier Liga,2012-2013,9000000,10500000
3030,Jordan Rhodes,Centre-Forward,22,Huddersfield,Championship,Blackburn,Championship,2012-2013,3500000,10100000
3031,Álvaro Pereira,Left-Back,26,FC Porto,Liga NOS,Inter,Serie A,2012-2013,16000000,10000000
3032,Raúl Meireles,Central Midfield,29,Chelsea,Premier League,Fenerbahce,Süper Lig,2012-2013,15000000,10000000
3033,Nilmar,Centre-Forward,28,Villarreal CF,LaLiga2,Al Rayyan,Stars League,2012-2013,15000000,10000000
3034,Giuseppe Rossi,Centre-Forward,25,Villarreal CF,LaLiga2,Fiorentina,Serie A,2012-2013,10000000,10000000
3035,Marvin Martin,Attacking Midfield,24,FC Sochaux,Ligue 1,LOSC Lille,Ligue 1,2012-2013,9500000,10000000
3036,Gylfi Sigurdsson,Attacking Midfield,22,TSG Hoffenheim,1.Bundesliga,Spurs,Premier League,2012-2013,8500000,10000000
3037,Nacho Monreal,Left-Back,26,Málaga CF,LaLiga,Arsenal,Premier League,2012-2013,6000000,10000000
3038,Matt Jarvis,Left Winger,26,Wolves,Championship,West Ham,Premier League,2012-2013,8000000,9500000
3039,Ganso,Attacking Midfield,22,Santos FC,Série A,São Paulo,Série A,2012-2013,18000000,9100000
3040,Raffael,Second Striker,27,Hertha BSC,2.Bundesliga,Dynamo Kyiv,Premier Liga,2012-2013,9000000,9000000
3041,José Salomón Rondón,Centre-Forward,22,Málaga CF,LaLiga,Rubin Kazan,Premier Liga,2012-2013,9000000,9000000
3042,Jackson Martínez,Centre-Forward,25,Chiapas FC,Liga MX Clausura,FC Porto,Liga NOS,2012-2013,5000000,8890000
3043,César Azpilicueta,Right-Back,23,Marseille,Ligue 1,Chelsea,Premier League,2012-2013,7500000,8800000
3044,Christian Benteke,Centre-Forward,21,KRC Genk,Jupiler Pro League,Aston Villa,Premier League,2012-2013,3000000,8800000
3045,Jay Rodríguez,Centre-Forward,22,Burnley,Championship,Southampton,Premier League,2012-2013,5000000,8650000
3046,Nordin Amrabat,Left Winger,25,Kayserispor,Süper Lig,Galatasaray,Süper Lig,2012-2013,6000000,8600000
3047,Demba Ba,Centre-Forward,27,Newcastle,Premier League,Chelsea,Premier League,2012-2013,15000000,8500000
3048,Lucas Barrios,Centre-Forward,27,Bor. Dortmund,1.Bundesliga,GZ Evergrande,Super League,2012-2013,10000000,8500000
3049,Granit Xhaka,Defensive Midfield,19,FC Basel,Super League,Bor. M'gladbach,1.Bundesliga,2012-2013,8500000,8500000
3050,Vurnon Anita,Defensive Midfield,23,AFC Ajax,Eredivisie,Newcastle,Premier League,2012-2013,6000000,8500000
3051,Diego Souza,Attacking Midfield,27,Vasco da Gama,Série A,Ittihad,Professional League,2012-2013,4500000,8200000
3052,Marko Marin,Left Winger,23,Werder Bremen,1.Bundesliga,Chelsea,Premier League,2012-2013,13000000,8000000
3053,Martín Cáceres,Right-Back,25,Sevilla FC,LaLiga,Juventus,Serie A,2012-2013,9500000,8000000
3054,Mapou Yanga-Mbiwa,Centre-Back,23,Montpellier,Ligue 1,Newcastle,Premier League,2012-2013,9000000,8000000
3055,Álvaro Domínguez,Centre-Back,23,Atlético Madrid,LaLiga,Bor. M'gladbach,1.Bundesliga,2012-2013,8000000,8000000
3056,Valon Behrami,Defensive Midfield,27,Fiorentina,Serie A,SSC Napoli,Serie A,2012-2013,8000000,8000000
3057,Esteban Granero,Central Midfield,25,Real Madrid,LaLiga,QPR,Premier League,2012-2013,7000000,8000000
3058,Ivan Perisic,Left Winger,23,Bor. Dortmund,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2012-2013,7000000,8000000
3059,Aleksandr Samedov,Right Winger,27,Dinamo Moscow,Premier Liga,Loko Moscow,Premier Liga,2012-2013,6500000,8000000
3060,Kévin Constant,Defensive Midfield,25,Genoa,Serie A,AC Milan,Serie A,2012-2013,6000000,8000000
3061,Marco Ruben,Centre-Forward,25,Villarreal CF,LaLiga2,Dynamo Kyiv,Premier Liga,2012-2013,6000000,8000000
3062,Davide Faraoni,Right Midfield,20,Inter,Serie A,Udinese Calcio,Serie A,2012-2013,4000000,8000000
3063,Rômulo,Defensive Midfield,21,Vasco da Gama,Série A,Spartak Moscow,Premier Liga,2012-2013,2500000,8000000
3064,Scott Sinclair,Left Midfield,23,Swansea,Premier League,Man City,Premier League,2012-2013,8000000,7800000
3065,Kevin Mirallas,Right Winger,24,Olympiacos,Super League,Everton,Premier League,2012-2013,8000000,7650000
3066,Wesley Sneijder,Attacking Midfield,28,Inter,Serie A,Galatasaray,Süper Lig,2012-2013,19000000,7500000
3067,Clint Dempsey,Second Striker,29,Fulham,Premier League,Spurs,Premier League,2012-2013,15000000,7500000
3068,Asamoah Gyan,Centre-Forward,26,Sunderland,Premier League,Al-Ain FC,UAE Gulf League,2012-2013,12000000,7500000
3069,Goran Pandev,Second Striker,28,Inter,Serie A,SSC Napoli,Serie A,2012-2013,11000000,7500000
3070,Miguel Veloso,Defensive Midfield,26,Genoa,Serie A,Dynamo Kyiv,Premier Liga,2012-2013,8000000,7500000
3071,Sergio Canales,Attacking Midfield,21,Real Madrid,LaLiga,Valencia CF,LaLiga,2012-2013,5000000,7500000
3072,Yura Movsisyan,Centre-Forward,25,Krasnodar,Premier Liga,Spartak Moscow,Premier Liga,2012-2013,3200000,7500000
3073,Nick Powell,Attacking Midfield,18,Crewe Alexandra,League One,Man Utd,Premier League,2012-2013,250000,7500000
3074,Borja Valero,Central Midfield,27,Villarreal CF,LaLiga2,Fiorentina,Serie A,2012-2013,12000000,7000000
3075,Milos Krasic,Central Midfield,27,Juventus,Serie A,Fenerbahce,Süper Lig,2012-2013,11000000,7000000
3076,Mattia Destro,Centre-Forward,21,Siena,Serie A,Genoa,Serie A,2012-2013,10000000,7000000
3077,Pablo Hernández,Right Winger,27,Valencia CF,LaLiga,Swansea,Premier League,2012-2013,9000000,7000000
3078,Bas Dost,Centre-Forward,23,Heerenveen,Eredivisie,VfL Wolfsburg,1.Bundesliga,2012-2013,8000000,7000000
3079,Niko Kranjcar,Attacking Midfield,27,Spurs,Premier League,Dynamo Kyiv,Premier Liga,2012-2013,7500000,7000000
3080,Philipp Wollscheid,Centre-Back,23,1.FC Nuremberg,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2012-2013,7500000,7000000
3081,Vedran Corluka,Centre-Back,26,Spurs,Premier League,Loko Moscow,Premier Liga,2012-2013,7500000,7000000
3082,Sung-yong Ki,Defensive Midfield,23,Celtic,Premiership,Swansea,Premier League,2012-2013,3500000,7000000
3083,Alessio Cerci,Right Winger,25,Fiorentina,Serie A,Torino,Serie A,2012-2013,6500000,6750000
3084,Renato Augusto,Central Midfield,24,Bay. Leverkusen,1.Bundesliga,Corinthians,Série A,2012-2013,7000000,6700000
3085,Luís Neto,Centre-Back,24,Siena,Serie A,Zenit S-Pb,Premier Liga,2012-2013,6000000,6500000
3086,Alberto Paloschi,Centre-Forward,23,AC Milan,Serie A,Chievo Verona,Serie A,2012-2013,5000000,6500000
3087,Emmanuel Adebayor,Centre-Forward,28,Man City,Premier League,Spurs,Premier League,2012-2013,25000000,6400000
3088,Mathieu Debuchy,Right-Back,27,LOSC Lille,Ligue 1,Newcastle,Premier League,2012-2013,15000000,6200000
3089,Charlie Adam,Central Midfield,26,Liverpool,Premier League,Stoke City,Premier League,2012-2013,8000000,6200000
3090,Gregory van der Wiel,Right-Back,24,AFC Ajax,Eredivisie,Paris SG,Ligue 1,2012-2013,9000000,6000000
3091,Stéphane Mbia,Defensive Midfield,26,Marseille,Ligue 1,QPR,Premier League,2012-2013,9000000,6000000
3092,Rasmus Elm,Defensive Midfield,24,AZ Alkmaar,Eredivisie,CSKA Moscow,Premier Liga,2012-2013,8000000,6000000
3093,Aly Cissokho,Left-Back,24,Olympique Lyon,Ligue 1,Valencia CF,LaLiga,2012-2013,7000000,6000000
3094,Vágner Love,Centre-Forward,28,Flamengo,Série A,CSKA Moscow,Premier Liga,2012-2013,6500000,6000000
3095,Iván Ramis,Centre-Back,27,RCD Mallorca,LaLiga,Wigan,Premier League,2012-2013,6000000,6000000
3096,Wálter Montillo,Attacking Midfield,28,Cruzeiro,Série A,Santos FC,Série A,2012-2013,5000000,6000000
3097,Modibo Maïga,Centre-Forward,24,FC Sochaux,Ligue 1,West Ham,Premier League,2012-2013,5000000,6000000
3098,Luc Castaignos,Centre-Forward,19,Inter,Serie A,FC Twente,Eredivisie,2012-2013,4500000,6000000
3099,Alex,Attacking Midfield,30,Corinthians,Série A,Al Gharafa,Stars League,2012-2013,3500000,6000000
3100,Joselu,Centre-Forward,22,RM Castilla,LaLiga2,TSG Hoffenheim,1.Bundesliga,2012-2013,-1,6000000
3101,Danny Graham,Centre-Forward,27,Swansea,Premier League,Sunderland,Premier League,2012-2013,4000000,5800000
3102,André,Centre-Forward,21,Dynamo Kyiv,Premier Liga,Atlético-MG,Série A,2012-2013,2500000,5800000
3103,Steven Pienaar,Left Winger,30,Spurs,Premier League,Everton,Premier League,2012-2013,7000000,5750000
3104,Elkeson,Centre-Forward,23,Botafogo,Série A,GZ Evergrande,Super League,2012-2013,3000000,5700000
3105,Marquinhos,Centre-Back,18,Corinthians,Série A,AS Roma,Serie A,2012-2013,750000,5700000
3106,Julian Schieber,Centre-Forward,23,VfB Stuttgart,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2012-2013,8000000,5500000
3107,Eren Derdiyok,Centre-Forward,24,Bay. Leverkusen,1.Bundesliga,TSG Hoffenheim,1.Bundesliga,2012-2013,7500000,5500000
3108,Dusan Tadic,Attacking Midfield,23,FC Groningen,Eredivisie,FC Twente,Eredivisie,2012-2013,7500000,5500000
3109,Eljero Elia,Left Winger,25,Juventus,Serie A,Werder Bremen,1.Bundesliga,2012-2013,5000000,5500000
3110,Ángelo Henríquez,Centre-Forward,18,U. de Chile,Primera División,Man Utd,Premier League,2012-2013,150000,5500000
3111,Ewerton,Centre-Back,23,Coimbra-MG, Brazil,Anzhi,Premier Liga,2012-2013,5500000,5400000
3112,Wallace Oliveira,Right-Back,18,Fluminense,Série A,Chelsea,Premier League,2012-2013,2000000,5400000
3113,Ezequiel Schelotto,Right-Back,23,Atalanta,Serie A,Inter,Serie A,2012-2013,6500000,5300000
3114,Maicosuel,Left Winger,26,Botafogo,Série A,Udinese Calcio,Serie A,2012-2013,2500000,5300000
3115,Diego Tardelli,Centre-Forward,27,Al Gharafa,Stars League,Atlético-MG,Série A,2012-2013,2000000,5250000
