,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
2900,Derek Boateng,Defensive Midfield,28,Getafe CF,LaLiga,Dnipro,Premier Liga,2011-2012,2500000,4880000
2901,Alessandro Diamanti,Second Striker,28,Brescia,Serie B,Bologna,Serie A,2011-2012,4000000,4860000
2902,Alexander Gerndt,Centre-Forward,25,Helsingborg,Allsvenskan,FC Utrecht,Eredivisie,2011-2012,4000000,4800000
2903,Serdar Kesimal,Centre-Back,22,Kayserispor,Süper Lig,Fenerbahce,Süper Lig,2011-2012,6000000,4750000
2904,Nedum Onuoha,Centre-Back,25,Man City,Premier League,QPR,Premier League,2011-2012,7500000,4700000
2905,Jean Beausejour,Left-Back,27,Birmingham,Championship,Wigan,Premier League,2011-2012,2000000,4700000
2906,Oriol Romeu,Defensive Midfield,19,FC Barcelona B,LaLiga2,Chelsea,Premier League,2011-2012,2500000,4600000
2907,Yuto Nagatomo,Left-Back,24,RC Cesena,Serie A,Inter,Serie A,2011-2012,8500000,4500000
2908,Shaun Wright-Phillips,Right Winger,29,Man City,Premier League,QPR,Premier League,2011-2012,8000000,4500000
2909,Alan Hutton,Right-Back,26,Spurs,Premier League,Aston Villa,Premier League,2011-2012,7500000,4500000
2910,Achille Emaná,Attacking Midfield,29,Real Betis,LaLiga,Hilal,Professional League,2011-2012,7000000,4500000
